Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Aduvie International School,"Aduvie International School offers educational programme to creches, daycare and nursery graders in Abuja.",international-schools,"Plot 273, BO8, Cadastral Zone, Jahi District, Abuja FCT Nigeria",0808 939 4474,"=HYPERLINK(""http://www.aduvieinternationalschool.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Aduvie-International-School/12043/"",""Read more"")"
British Canadian International Education,"BCIE is a reputable independent organisation that represents a number of universities in the UK, Canada, Australia, Dubai and the USA.",international-schools,"24B, Djibouti Crescent, 5th House after Zartech, Wuse 2, Abuja FCT Nigeria","0817-149-5402, 0909-347-8930, 0806-678-8636","=HYPERLINK(""http://www.bcie.co.uk/offices/nigeria---abuja"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/British-Canadian-International-Education/12050/"",""Read more"")"
Center for Teaching & Learning (CTL),CTL Academy is an international school offering an American standards of educational programme for nursery and primary graders.,international-schools,"2, Oladunni Ayandipo Close, Katampe Extension, Abuja FCT Nigeria","0818 194 6446, 0703 514 7277","=HYPERLINK(""http://www.ctlacademy.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Center-for-Teaching--Learning-CTL/12041/"",""Read more"")"
Efab International School,Efab International School provides educational programme for nursery and primary graders in Abuja.,international-schools,"Along 2nd Avenue, Efab City Estate, Mbora, Abuja FCT Nigeria",0817 490 9071,"=HYPERLINK(""http://www.efabintlschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Efab-International-School/12042/"",""Read more"")"
FAMAKS International School,"FAMAKS International School provides educational programme for nursery, primary and secondary graders in Abuja.",international-schools,"8, Adekunle Fajyi Close, Off Ajayi Crowther Street, Asokoro, Abuja FCT Nigeria",0808 305 1079,"=HYPERLINK(""http://www.famakschools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/FAMAKS-International-School/12045/"",""Read more"")"
Funtaj International Secondary School,Funtaj International School is co-educational and fully boarding institution in Abuja.,international-schools,"Plot 474, Nelson Mandela Street, Asokoro, Abuja FCT Nigeria","0702 634 9297, 0705 792 8066, 0702 634 9294","=HYPERLINK(""http://funtajschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Funtaj-International-Secondary-School/12060/"",""Read more"")"
Grace Garden International School,"Grace Garden International School offers educational program for primary, junior and senior secondary in Abuja.",international-schools,"21, Euphrates Street, Maitama, Abuja FCT Nigeria",0803 450 3632,"=HYPERLINK(""http://www.gracegardenschools.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Grace-Garden-International-School/12039/"",""Read more"")"
Start-Rite Schools,"Start-Rite Schools is a vibrant, happy, learning community that offers excellent value-based education for your child. Our goal is to develop a confident, well-rounded student who will succeed at any chosen secondary school and beyond.",international-schools,"Plot 1036, Aderemi Adesoji Street, Guru District, Abuja","0810 633 4006, 0818 264 3930","=HYPERLINK(""http://www.startriteschools.com.ng"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/StartRite-Schools/23465/"",""Read more"")"
The Centagon International School,"The Centagon International School offers educational programme to primary, secondary and nursery graders in Abuja.",international-schools,"29/31, Mississippi Street, Maitama, Abuja FCT Nigeria",0805 728 0323,"=HYPERLINK(""http://tcisabuja.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/The-Centagon-International-School/12044/"",""Read more"")"
The Regent School Abuja,"The Regent School offers nursery, primary and secondary educational programmes in Abuja.",international-schools,"1, Euphrates Street, Maitama, Abuja FCT Nigeria","0807 229 3289, 0703 779 3322, 0807-848-7966","=HYPERLINK(""http://www.regentschoolabuja.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/The-Regent-School-Abuja/12040/"",""Read more"")"
Whiteplains British School,Whiteplains British School offers educational programme for primary and secondary graders in Abuja.,international-schools,"Plot 528, Cadestral Zone B4, Opposite National War College Site, Jabi, Abuja FCT Nigeria","0704 069 3656, 0703 233 7188, 0803 345 3457","=HYPERLINK(""http://www.whiteplainsbritishedu.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Whiteplains-British-School/12049/"",""Read more"")"
Glorious Fields International School,Glorious Fields International School offers nursery and primary educational programmes in Abuja,international-schools,"Plot 99B, Road 3, Phase 4, Abuja FCT Nigeria","0806 801 9837, 0807 715 9677","=HYPERLINK(""http://www.finelib.com/listing/Glorious-Fields-International-School/12118/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Glorious-Fields-International-School/12118/"",""Read more"")"
Primark International Academy,Primark International Academy offers nursery and primary educational programmes in Abuja.,international-schools,"Karshi/Orozo Road, Jikwoyi, Abuja FCT Nigeria","0808 801 1043, 0806 942 9669","=HYPERLINK(""http://www.finelib.com/listing/Primark-International-Academy/12222/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Primark-International-Academy/12222/"",""Read more"")"
